Coefficient of Variation for Change: Percent Total by Variable

+------------+-----------+-----------------+---------+
|  variable  | change_cv | change_cv_count | percent |
| b13002_001 |    low    |      30965      |   84.0  |
| b13002_001 |   medium  |       4079      |   11.1  |
| b13002_001 |    high   |       1833      |   5.0   |
| b13002_002 |    low    |      19707      |   98.4  |
| b13002_002 |   medium  |       297       |   1.5   |
| b13002_002 |    high   |        23       |   0.1   |
| b13002_003 |    low    |      16001      |   99.0  |
| b13002_003 |   medium  |       154       |   1.0   |
| b13002_003 |    high   |        14       |   0.1   |
| b13002_004 |    low    |       359       |   93.0  |
| b13002_004 |   medium  |        23       |   6.0   |
| b13002_004 |    high   |        4        |   1.0   |
| b13002_005 |    low    |      13354      |   99.0  |
| b13002_005 |   medium  |       124       |   0.9   |
| b13002_005 |    high   |        8        |   0.1   |
| b13002_006 |    low    |       5722      |   98.4  |
| b13002_006 |   medium  |        85       |   1.5   |
| b13002_006 |    high   |        9        |   0.2   |
| b13002_007 |    low    |       9886      |   98.2  |
| b13002_007 |   medium  |       164       |   1.6   |
| b13002_007 |    high   |        19       |   0.2   |
| b13002_008 |    low    |       2306      |   93.1  |
| b13002_008 |   medium  |       146       |   5.9   |
| b13002_008 |    high   |        24       |   1.0   |
| b13002_009 |    low    |       7908      |   98.6  |
| b13002_009 |   medium  |       100       |   1.2   |
| b13002_009 |    high   |        12       |   0.1   |
| b13002_010 |    low    |       1438      |   98.4  |
| b13002_010 |   medium  |        22       |   1.5   |
| b13002_010 |    high   |        2        |   0.1   |
| b13002_011 |    low    |      30798      |   86.3  |
| b13002_011 |   medium  |       3797      |   10.6  |
| b13002_011 |    high   |       1082      |   3.0   |
| b13002_012 |    low    |      30815      |   91.6  |
| b13002_012 |   medium  |       2616      |   7.8   |
| b13002_012 |    high   |       207       |   0.6   |
| b13002_013 |    low    |       1159      |   99.2  |
| b13002_013 |   medium  |        9        |   0.8   |
| b13002_014 |    low    |      24114      |   96.5  |
| b13002_014 |   medium  |       851       |   3.4   |
| b13002_014 |    high   |        21       |   0.1   |
| b13002_015 |    low    |      29248      |   91.8  |
| b13002_015 |   medium  |       2422      |   7.6   |
| b13002_015 |    high   |       207       |   0.6   |
| b13002_016 |    low    |      26648      |   93.5  |
| b13002_016 |   medium  |       1696      |   5.9   |
| b13002_016 |    high   |       165       |   0.6   |
| b13002_017 |    low    |      24348      |   93.4  |
| b13002_017 |   medium  |       1403      |   5.4   |
| b13002_017 |    high   |       320       |   1.2   |
| b13002_018 |    low    |      25390      |   93.9  |
| b13002_018 |   medium  |       1469      |   5.4   |
| b13002_018 |    high   |       193       |   0.7   |
| b13002_019 |    low    |      22473      |   97.8  |
| b13002_019 |   medium  |       495       |   2.2   |
| b13002_019 |    high   |        18       |   0.1   |
| b14001_001 |    low    |      35198      |   68.5  |
| b14001_001 |   medium  |       9500      |   18.5  |
| b14001_001 |    high   |       6658      |   13.0  |
| b14001_002 |    low    |      32983      |   87.3  |
| b14001_002 |   medium  |       4186      |   11.1  |
| b14001_002 |    high   |       614       |   1.6   |
| b14001_003 |    low    |      21625      |   98.0  |
| b14001_003 |   medium  |       437       |   2.0   |
| b14001_003 |    high   |        14       |   0.1   |
| b14001_004 |    low    |      21258      |   98.1  |
| b14001_004 |   medium  |       400       |   1.8   |
| b14001_004 |    high   |        16       |   0.1   |
| b14001_005 |    low    |      26972      |   95.2  |
| b14001_005 |   medium  |       1309      |   4.6   |
| b14001_005 |    high   |        52       |   0.2   |
| b14001_006 |    low    |      27217      |   95.4  |
| b14001_006 |   medium  |       1261      |   4.4   |
| b14001_006 |    high   |        47       |   0.2   |
| b14001_007 |    low    |      27210      |   93.9  |
| b14001_007 |   medium  |       1650      |   5.7   |
| b14001_007 |    high   |       131       |   0.5   |
| b14001_008 |    low    |      28268      |   93.0  |
| b14001_008 |   medium  |       1955      |   6.4   |
| b14001_008 |    high   |       158       |   0.5   |
| b14001_009 |    low    |      16108      |   98.5  |
| b14001_009 |   medium  |       244       |   1.5   |
| b14001_009 |    high   |        6        |   0.0   |
| b14001_010 |    low    |      36266      |   74.4  |
| b14001_010 |   medium  |       8830      |   18.1  |
| b14001_010 |    high   |       3660      |   7.5   |
| b15002_001 |    low    |      69752      |   80.4  |
| b15002_001 |   medium  |      11309      |   13.0  |
| b15002_001 |    high   |       5649      |   6.5   |
| b15002_002 |    low    |      65163      |   85.0  |
| b15002_002 |   medium  |       8049      |   10.5  |
| b15002_002 |    high   |       3486      |   4.5   |
| b15002_003 |    low    |      13084      |   97.6  |
| b15002_003 |   medium  |       289       |   2.2   |
| b15002_003 |    high   |        31       |   0.2   |
| b15002_004 |    low    |       7420      |   97.6  |
| b15002_004 |   medium  |       175       |   2.3   |
| b15002_004 |    high   |        8        |   0.1   |
| b15002_005 |    low    |      12190      |   97.5  |
| b15002_005 |   medium  |       296       |   2.4   |
| b15002_005 |    high   |        20       |   0.2   |
| b15002_006 |    low    |      19723      |   97.5  |
| b15002_006 |   medium  |       458       |   2.3   |
| b15002_006 |    high   |        38       |   0.2   |
| b15002_007 |    low    |      15710      |   98.5  |
| b15002_007 |   medium  |       224       |   1.4   |
| b15002_007 |    high   |        8        |   0.1   |
| b15002_008 |    low    |      19191      |   98.5  |
| b15002_008 |   medium  |       283       |   1.5   |
| b15002_008 |    high   |        19       |   0.1   |
| b15002_009 |    low    |      20853      |   98.4  |
| b15002_009 |   medium  |       313       |   1.5   |
| b15002_009 |    high   |        19       |   0.1   |
| b15002_010 |    low    |      18708      |   98.9  |
| b15002_010 |   medium  |       183       |   1.0   |
| b15002_010 |    high   |        17       |   0.1   |
| b15002_011 |    low    |      54949      |   96.6  |
| b15002_011 |   medium  |       1832      |   3.2   |
