Coefficient of Variation for Change: Percent Total by All Categories

+------------+--------+----------+-----------+-----------------+---------+
|  variable  | table  | sumlevel | change_cv | change_cv_count | percent |
| b01001_006 | b01001 |   140    |    high   |        3        |   0.0   |
| b01001_006 | b01001 |   150    |    low    |      20058      |   99.3  |
| b01001_006 | b01001 |   150    |   medium  |       130       |   0.6   |
| b01001_006 | b01001 |   150    |    high   |        6        |   0.0   |
| b01001_006 | b01001 |   160    |    low    |       2807      |   96.9  |
| b01001_006 | b01001 |   160    |   medium  |        75       |   2.6   |
| b01001_006 | b01001 |   160    |    high   |        15       |   0.5   |
| b01001_006 | b01001 |   170    |    low    |        3        |   60.0  |
| b01001_006 | b01001 |   170    |   medium  |        2        |   40.0  |
| b01001_006 | b01001 |   250    |    low    |        74       |   96.1  |
| b01001_006 | b01001 |   250    |   medium  |        3        |   3.9   |
| b01001_006 | b01001 |   251    |    low    |        53       |   98.1  |
| b01001_006 | b01001 |   251    |   medium  |        1        |   1.9   |
| b01001_006 | b01001 |   256    |    low    |        61       |   98.4  |
| b01001_006 | b01001 |   256    |   medium  |        1        |   1.6   |
| b01001_006 | b01001 |   258    |    low    |       114       |   99.1  |
| b01001_006 | b01001 |   258    |   medium  |        1        |   0.9   |
| b01001_006 | b01001 |   310    |    low    |       208       |   51.5  |
| b01001_006 | b01001 |   310    |   medium  |       105       |   26.0  |
| b01001_006 | b01001 |   310    |    high   |        91       |   22.5  |
| b01001_006 | b01001 |   400    |    low    |       604       |   88.4  |
| b01001_006 | b01001 |   400    |   medium  |        55       |   8.1   |
| b01001_006 | b01001 |   400    |    high   |        24       |   3.5   |
| b01001_006 | b01001 |   500    |    low    |       122       |   62.6  |
| b01001_006 | b01001 |   500    |   medium  |        58       |   29.7  |
| b01001_006 | b01001 |   500    |    high   |        15       |   7.7   |
| b01001_006 | b01001 |   795    |    low    |       562       |   71.7  |
| b01001_006 | b01001 |   795    |   medium  |       175       |   22.3  |
| b01001_006 | b01001 |   795    |    high   |        47       |   6.0   |
| b01001_006 | b01001 |   860    |    low    |       3960      |   96.6  |
