"table"	"variable"	"sumlevel"	"sig_dif"	"sig_dif_count"
"b01001"	"b01001_011"	"860"	True	4362
"b01001"	"b01001_012"	"010"	True	1
"b01001"	"b01001_012"	"020"	True	4
"b01001"	"b01001_012"	"030"	True	9
"b01001"	"b01001_012"	"040"	False	6
"b01001"	"b01001_012"	"040"	True	46
"b01001"	"b01001_012"	"050"	False	1709
"b01001"	"b01001_012"	"050"	True	1511
"b01001"	"b01001_012"	"060"	False	31996
"b01001"	"b01001_012"	"060"	True	4548
"b01001"	"b01001_012"	"140"	False	62364
"b01001"	"b01001_012"	"140"	True	11278
"b01001"	"b01001_012"	"150"	False	194499
"b01001"	"b01001_012"	"150"	True	25475
"b01001"	"b01001_012"	"160"	False	26259
"b01001"	"b01001_012"	"160"	True	3251
"b01001"	"b01001_012"	"170"	False	2
"b01001"	"b01001_012"	"170"	True	6
"b01001"	"b01001_012"	"250"	False	613
"b01001"	"b01001_012"	"250"	True	80
"b01001"	"b01001_012"	"251"	False	431
"b01001"	"b01001_012"	"251"	True	49
"b01001"	"b01001_012"	"256"	False	419
"b01001"	"b01001_012"	"256"	True	62
"b01001"	"b01001_012"	"258"	False	799
"b01001"	"b01001_012"	"258"	True	116
"b01001"	"b01001_012"	"310"	False	349
"b01001"	"b01001_012"	"310"	True	447
"b01001"	"b01001_012"	"400"	False	2819
"b01001"	"b01001_012"	"400"	True	773
"b01001"	"b01001_012"	"500"	False	132
"b01001"	"b01001_012"	"500"	True	236
"b01001"	"b01001_012"	"795"	False	1412
"b01001"	"b01001_012"	"795"	True	966
"b01001"	"b01001_012"	"860"	False	28686
"b01001"	"b01001_012"	"860"	True	4434
"b01001"	"b01001_013"	"010"	True	1
"b01001"	"b01001_013"	"020"	True	4
"b01001"	"b01001_013"	"030"	True	9
"b01001"	"b01001_013"	"040"	False	9
"b01001"	"b01001_013"	"040"	True	43
"b01001"	"b01001_013"	"050"	False	2375
"b01001"	"b01001_013"	"050"	True	845
"b01001"	"b01001_013"	"060"	False	32024
"b01001"	"b01001_013"	"060"	True	4520
"b01001"	"b01001_013"	"140"	False	62222
"b01001"	"b01001_013"	"140"	True	11420
"b01001"	"b01001_013"	"150"	False	194394
"b01001"	"b01001_013"	"150"	True	25580
"b01001"	"b01001_013"	"160"	False	26312
"b01001"	"b01001_013"	"160"	True	3198
"b01001"	"b01001_013"	"170"	False	5
"b01001"	"b01001_013"	"170"	True	3
"b01001"	"b01001_013"	"250"	False	623
"b01001"	"b01001_013"	"250"	True	70
"b01001"	"b01001_013"	"251"	False	444
"b01001"	"b01001_013"	"251"	True	36
"b01001"	"b01001_013"	"256"	False	432
"b01001"	"b01001_013"	"256"	True	49
"b01001"	"b01001_013"	"258"	False	804
"b01001"	"b01001_013"	"258"	True	111
"b01001"	"b01001_013"	"310"	False	532
"b01001"	"b01001_013"	"310"	True	264
"b01001"	"b01001_013"	"400"	False	2914
"b01001"	"b01001_013"	"400"	True	678
"b01001"	"b01001_013"	"500"	False	159
"b01001"	"b01001_013"	"500"	True	209
"b01001"	"b01001_013"	"795"	False	1632
"b01001"	"b01001_013"	"795"	True	746
"b01001"	"b01001_013"	"860"	False	28706
"b01001"	"b01001_013"	"860"	True	4414
"b01001"	"b01001_014"	"010"	True	1
"b01001"	"b01001_014"	"020"	True	4
"b01001"	"b01001_014"	"030"	True	9
"b01001"	"b01001_014"	"040"	False	11
"b01001"	"b01001_014"	"040"	True	41
"b01001"	"b01001_014"	"050"	False	2269
"b01001"	"b01001_014"	"050"	True	951
"b01001"	"b01001_014"	"060"	False	31778
"b01001"	"b01001_014"	"060"	True	4766
"b01001"	"b01001_014"	"140"	False	62193
"b01001"	"b01001_014"	"140"	True	11449
"b01001"	"b01001_014"	"150"	False	193948
"b01001"	"b01001_014"	"150"	True	26026
"b01001"	"b01001_014"	"160"	False	26239
"b01001"	"b01001_014"	"160"	True	3271
"b01001"	"b01001_014"	"170"	False	6
"b01001"	"b01001_014"	"170"	True	2
"b01001"	"b01001_014"	"250"	False	624
"b01001"	"b01001_014"	"250"	True	69
"b01001"	"b01001_014"	"251"	False	418
"b01001"	"b01001_014"	"251"	True	62
"b01001"	"b01001_014"	"256"	False	427
"b01001"	"b01001_014"	"256"	True	54
"b01001"	"b01001_014"	"258"	False	799
"b01001"	"b01001_014"	"258"	True	116
"b01001"	"b01001_014"	"310"	False	518
"b01001"	"b01001_014"	"310"	True	278
"b01001"	"b01001_014"	"400"	False	2905
"b01001"	"b01001_014"	"400"	True	687
"b01001"	"b01001_014"	"500"	False	151
"b01001"	"b01001_014"	"500"	True	217
"b01001"	"b01001_014"	"795"	False	1581
"b01001"	"b01001_014"	"795"	True	797
"b01001"	"b01001_014"	"860"	False	28507
"b01001"	"b01001_014"	"860"	True	4613
"b01001"	"b01001_015"	"010"	True	1
"b01001"	"b01001_015"	"020"	True	4
"b01001"	"b01001_015"	"030"	True	9
"b01001"	"b01001_015"	"040"	False	1
"b01001"	"b01001_015"	"040"	True	51
"b01001"	"b01001_015"	"050"	False	1099
"b01001"	"b01001_015"	"050"	True	2121
"b01001"	"b01001_015"	"060"	False	31322
"b01001"	"b01001_015"	"060"	True	5222
"b01001"	"b01001_015"	"140"	False	62097
"b01001"	"b01001_015"	"140"	True	11545
"b01001"	"b01001_015"	"150"	False	193131
"b01001"	"b01001_015"	"150"	True	26843
"b01001"	"b01001_015"	"160"	False	26033
"b01001"	"b01001_015"	"160"	True	3477
"b01001"	"b01001_015"	"170"	True	8
"b01001"	"b01001_015"	"250"	False	605
"b01001"	"b01001_015"	"250"	True	88
"b01001"	"b01001_015"	"251"	False	418
"b01001"	"b01001_015"	"251"	True	62
"b01001"	"b01001_015"	"256"	False	419
"b01001"	"b01001_015"	"256"	True	62
"b01001"	"b01001_015"	"258"	False	789
"b01001"	"b01001_015"	"258"	True	126
"b01001"	"b01001_015"	"310"	False	193
"b01001"	"b01001_015"	"310"	True	603
"b01001"	"b01001_015"	"400"	False	2794
"b01001"	"b01001_015"	"400"	True	798
"b01001"	"b01001_015"	"500"	False	100
"b01001"	"b01001_015"	"500"	True	268
"b01001"	"b01001_015"	"795"	False	1251
"b01001"	"b01001_015"	"795"	True	1127
"b01001"	"b01001_015"	"860"	False	28175
"b01001"	"b01001_015"	"860"	True	4945
"b01001"	"b01001_016"	"010"	True	1
"b01001"	"b01001_016"	"020"	True	4
"b01001"	"b01001_016"	"030"	True	9
"b01001"	"b01001_016"	"040"	False	2
"b01001"	"b01001_016"	"040"	True	50
"b01001"	"b01001_016"	"050"	False	956
"b01001"	"b01001_016"	"050"	True	2263
"b01001"	"b01001_016"	"050"	""	1
"b01001"	"b01001_016"	"060"	False	31087
"b01001"	"b01001_016"	"060"	True	5457
"b01001"	"b01001_016"	"140"	False	62090
"b01001"	"b01001_016"	"140"	True	11552
"b01001"	"b01001_016"	"150"	False	192597
"b01001"	"b01001_016"	"150"	True	27377
"b01001"	"b01001_016"	"160"	False	25875
"b01001"	"b01001_016"	"160"	True	3635
"b01001"	"b01001_016"	"170"	False	2
"b01001"	"b01001_016"	"170"	True	6
"b01001"	"b01001_016"	"250"	False	621
"b01001"	"b01001_016"	"250"	True	72
"b01001"	"b01001_016"	"251"	False	426
"b01001"	"b01001_016"	"251"	True	54
"b01001"	"b01001_016"	"256"	False	423
"b01001"	"b01001_016"	"256"	True	58
"b01001"	"b01001_016"	"258"	False	794
"b01001"	"b01001_016"	"258"	True	121
"b01001"	"b01001_016"	"310"	False	147
"b01001"	"b01001_016"	"310"	True	649
"b01001"	"b01001_016"	"400"	False	2813
"b01001"	"b01001_016"	"400"	True	779
"b01001"	"b01001_016"	"500"	False	108
