"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b05002"	"b05002_014"	"040"	"medium"	14
"b05002"	"b05002_014"	"050"	"high"	69
"b05002"	"b05002_014"	"050"	"low"	2947
"b05002"	"b05002_014"	"050"	"medium"	171
"b05002"	"b05002_014"	"050"	""	33
"b05002"	"b05002_014"	"060"	"high"	56
"b05002"	"b05002_014"	"060"	"low"	25484
"b05002"	"b05002_014"	"060"	"medium"	264
"b05002"	"b05002_014"	"060"	""	10740
"b05002"	"b05002_014"	"140"	"high"	4
"b05002"	"b05002_014"	"140"	"low"	71054
"b05002"	"b05002_014"	"140"	"medium"	363
"b05002"	"b05002_014"	"140"	""	2221
"b05002"	"b05002_014"	"160"	"high"	30
"b05002"	"b05002_014"	"160"	"low"	21537
"b05002"	"b05002_014"	"160"	"medium"	278
"b05002"	"b05002_014"	"160"	""	7665
"b05002"	"b05002_014"	"170"	"high"	1
"b05002"	"b05002_014"	"170"	"low"	4
"b05002"	"b05002_014"	"170"	"medium"	3
"b05002"	"b05002_014"	"250"	"high"	1
"b05002"	"b05002_014"	"250"	"low"	416
"b05002"	"b05002_014"	"250"	"medium"	4
"b05002"	"b05002_014"	"250"	""	272
"b05002"	"b05002_014"	"251"	"low"	226
"b05002"	"b05002_014"	"251"	""	254
"b05002"	"b05002_014"	"256"	"low"	365
"b05002"	"b05002_014"	"256"	"medium"	1
"b05002"	"b05002_014"	"256"	""	115
"b05002"	"b05002_014"	"310"	"high"	33
"b05002"	"b05002_014"	"310"	"low"	687
"b05002"	"b05002_014"	"310"	"medium"	76
"b05002"	"b05002_014"	"400"	"high"	38
"b05002"	"b05002_014"	"400"	"low"	3369
"b05002"	"b05002_014"	"400"	"medium"	96
"b05002"	"b05002_014"	"400"	""	89
"b05002"	"b05002_014"	"500"	"high"	55
"b05002"	"b05002_014"	"500"	"low"	132
"b05002"	"b05002_014"	"500"	"medium"	181
"b05002"	"b05002_014"	"795"	"high"	20
"b05002"	"b05002_014"	"795"	"low"	1964
"b05002"	"b05002_014"	"795"	"medium"	394
"b05002"	"b05002_014"	"860"	"high"	8
"b05002"	"b05002_014"	"860"	"low"	26307
"b05002"	"b05002_014"	"860"	"medium"	355
"b05002"	"b05002_014"	"860"	""	6450
"b05002"	"b05002_021"	"010"	"low"	1
"b05002"	"b05002_021"	"020"	"low"	1
"b05002"	"b05002_021"	"020"	"medium"	3
"b05002"	"b05002_021"	"030"	"high"	3
"b05002"	"b05002_021"	"030"	"low"	4
"b05002"	"b05002_021"	"030"	"medium"	2
"b05002"	"b05002_021"	"040"	"high"	6
"b05002"	"b05002_021"	"040"	"low"	32
"b05002"	"b05002_021"	"040"	"medium"	14
"b05002"	"b05002_021"	"050"	"high"	16
"b05002"	"b05002_021"	"050"	"low"	3074
"b05002"	"b05002_021"	"050"	"medium"	91
"b05002"	"b05002_021"	"050"	""	39
"b05002"	"b05002_021"	"060"	"high"	26
"b05002"	"b05002_021"	"060"	"low"	24219
"b05002"	"b05002_021"	"060"	"medium"	147
"b05002"	"b05002_021"	"060"	""	12152
"b05002"	"b05002_021"	"140"	"high"	10
"b05002"	"b05002_021"	"140"	"low"	70568
"b05002"	"b05002_021"	"140"	"medium"	329
"b05002"	"b05002_021"	"140"	""	2735
"b05002"	"b05002_021"	"160"	"high"	13
"b05002"	"b05002_021"	"160"	"low"	21026
"b05002"	"b05002_021"	"160"	"medium"	141
"b05002"	"b05002_021"	"160"	""	8330
"b05002"	"b05002_021"	"170"	"low"	7
"b05002"	"b05002_021"	"170"	"medium"	1
"b05002"	"b05002_021"	"250"	"high"	3
"b05002"	"b05002_021"	"250"	"low"	395
"b05002"	"b05002_021"	"250"	"medium"	2
"b05002"	"b05002_021"	"250"	""	293
"b05002"	"b05002_021"	"251"	"high"	1
"b05002"	"b05002_021"	"251"	"low"	220
"b05002"	"b05002_021"	"251"	""	259
"b05002"	"b05002_021"	"256"	"high"	2
"b05002"	"b05002_021"	"256"	"low"	365
"b05002"	"b05002_021"	"256"	"medium"	2
"b05002"	"b05002_021"	"256"	""	112
"b05002"	"b05002_021"	"310"	"high"	9
"b05002"	"b05002_021"	"310"	"low"	745
"b05002"	"b05002_021"	"310"	"medium"	40
"b05002"	"b05002_021"	"310"	""	2
"b05002"	"b05002_021"	"400"	"high"	11
"b05002"	"b05002_021"	"400"	"low"	3414
"b05002"	"b05002_021"	"400"	"medium"	63
"b05002"	"b05002_021"	"400"	""	104
"b05002"	"b05002_021"	"500"	"high"	12
"b05002"	"b05002_021"	"500"	"low"	294
