"table"	"variable"	"sumlevel"	"change_cv"	"change_cv_count"
"b25063"	"b25063_022"	"060"	"high"	148
"b25063"	"b25063_022"	"060"	"low"	1735
"b25063"	"b25063_022"	"060"	"medium"	468
"b25063"	"b25063_022"	"140"	"high"	29
"b25063"	"b25063_022"	"140"	"low"	10965
"b25063"	"b25063_022"	"140"	"medium"	1399
"b25063"	"b25063_022"	"150"	"high"	16
"b25063"	"b25063_022"	"150"	"low"	15793
"b25063"	"b25063_022"	"150"	"medium"	1139
"b25063"	"b25063_022"	"160"	"high"	141
"b25063"	"b25063_022"	"160"	"low"	1916
"b25063"	"b25063_022"	"160"	"medium"	555
"b25063"	"b25063_022"	"170"	"high"	3
"b25063"	"b25063_022"	"170"	"low"	3
"b25063"	"b25063_022"	"250"	"high"	1
"b25063"	"b25063_022"	"250"	"low"	16
"b25063"	"b25063_022"	"250"	"medium"	5
"b25063"	"b25063_022"	"251"	"low"	3
"b25063"	"b25063_022"	"256"	"low"	9
"b25063"	"b25063_022"	"256"	"medium"	3
"b25063"	"b25063_022"	"258"	"low"	12
"b25063"	"b25063_022"	"258"	"medium"	4
"b25063"	"b25063_022"	"310"	"high"	71
"b25063"	"b25063_022"	"310"	"low"	178
"b25063"	"b25063_022"	"310"	"medium"	85
"b25063"	"b25063_022"	"400"	"high"	84
"b25063"	"b25063_022"	"400"	"low"	410
"b25063"	"b25063_022"	"400"	"medium"	140
"b25063"	"b25063_022"	"500"	"high"	162
"b25063"	"b25063_022"	"500"	"low"	41
"b25063"	"b25063_022"	"500"	"medium"	136
"b25063"	"b25063_022"	"795"	"high"	212
"b25063"	"b25063_022"	"795"	"low"	688
"b25063"	"b25063_022"	"795"	"medium"	729
"b25063"	"b25063_022"	"860"	"high"	113
"b25063"	"b25063_022"	"860"	"low"	3327
"b25063"	"b25063_022"	"860"	"medium"	1154
"b25063"	"b25063_023"	"010"	"high"	1
"b25063"	"b25063_023"	"020"	"high"	4
"b25063"	"b25063_023"	"030"	"high"	9
"b25063"	"b25063_023"	"040"	"high"	27
"b25063"	"b25063_023"	"040"	"low"	9
"b25063"	"b25063_023"	"040"	"medium"	14
"b25063"	"b25063_023"	"050"	"high"	94
"b25063"	"b25063_023"	"050"	"low"	277
"b25063"	"b25063_023"	"050"	"medium"	130
"b25063"	"b25063_023"	"060"	"high"	120
"b25063"	"b25063_023"	"060"	"low"	1016
